S. No.,College Name,College Type,State Name
259,Sri Venkateswara Balakuteer College of Education (Id: C-42662),Affiliated College,Andhra Pradesh
260,Sri Venkateswara College of Education (Id: C-37218),Affiliated College,Andhra Pradesh
261,"Sri Venkateswara College of Education, Darsi (Id: C-39492)",Affiliated College,Andhra Pradesh
262,Sri Venkateswara Degree College (Id: C-32686),Affiliated College,Andhra Pradesh
263,"Sri Venkateswara Degree College, Guntur (Id: C-44824)",Affiliated College,Andhra Pradesh
264,"Sri Venkateswara Degree College, Nakirekallu (Id: C-41007)",Affiliated College,Andhra Pradesh
265,Sri Venkateswara & Sri Satyadev Degree College (Id: C-44108),Affiliated College,Andhra Pradesh
266,"Sri Vivekananda Degree College, Podili (Id: C-39302)",Affiliated College,Andhra Pradesh
267,S.S. Arts & Science College (Id: C-32627),Affiliated College,Andhra Pradesh
268,S.S. & N. College (Id: C-32759),Affiliated College,Andhra Pradesh
269,S.S.N. Degree College (Id: C-32696),Affiliated College,Andhra Pradesh
270,"S.S.N Degree College, Podili (Id: C-42705)",Affiliated College,Andhra Pradesh
271,St. Anns College for Women (Id: C-39493),Affiliated College,Andhra Pradesh
272,St. Ignatious Degree College (Id: C-42777),Affiliated College,Andhra Pradesh
273,St. John College of Education (Id: C-32726),Affiliated College,Andhra Pradesh
274,St. Joseph's College of Education for Women (Id: C-32752),Affiliated College,Andhra Pradesh
275,St Mark NTR College of Education (Id: C-37206),Affiliated College,Andhra Pradesh
276,"St Mary's B.Ed College, Podili (Id: C-39464)",Affiliated College,Andhra Pradesh
277,St. Paul's College of Education (Id: C-32659),Affiliated College,Andhra Pradesh
278,St. Peter & G. Krishna College of Education (Id: C-32706),Affiliated College,Andhra Pradesh
279,"St. Theressa Degree College - Hotel Management, Tenali (Id: C-41006)",Affiliated College,Andhra Pradesh
280,St. Xavier Institute of Pharmacy (Id: C-39456),Affiliated College,Andhra Pradesh
281,S.V. Arts & Science College (Id: C-32824),Affiliated College,Andhra Pradesh
282,"S.V.B.S Degree College, Komarole (Id: C-41003)",Affiliated College,Andhra Pradesh
283,"S.V.K.P. Arts, Science & Commerce College (Id: C-42778)",Affiliated College,Andhra Pradesh
284,S.V.K.P. College (Id: C-32795),Affiliated College,Andhra Pradesh
285,S.V.K.P. Degree College (Id: C-32805),Affiliated College,Andhra Pradesh
286,"S.V.K.P P.G College, Cumbum (Id: C-44534)",Affiliated College,Andhra Pradesh
287,S.V.R.M. College (Id: C-32810),Affiliated College,Andhra Pradesh
288,"Sweekaar College of Special Education (M.R), Guntur (Id: C-41211)",Affiliated College,Andhra Pradesh
289,"Sweekaar Degree College, Guntur (Id: C-41212)",Affiliated College,Andhra Pradesh
290,Tarlapadu College of Education (Id: C-32699),Affiliated College,Andhra Pradesh
291,TCMT College (Id: C-32791),Affiliated College,Andhra Pradesh
292,Thotakura RamaKotaiah College of Education (Id: C-39239),Affiliated College,Andhra Pradesh
293,"Tiyyagura Sitarami Reddy Degree College, Piduguralla (Id: C-41005)",Affiliated College,Andhra Pradesh
294,T.J.P.S. College (Id: C-32708),Affiliated College,Andhra Pradesh
295,T.R.R. Govt. Degree College (Id: C-32822),Affiliated College,Andhra Pradesh
296,T.R.R. & S. Degree College (Id: C-32744),Affiliated College,Andhra Pradesh
297,"University COllege of Arts, Commerce and Law (Id: C-32637)",Constituent / University College,Andhra Pradesh
298,University College of Engineering & Technology (Id: C-32695),Constituent / University College,Andhra Pradesh
299,University College of Pharmaceutical Sciences (Id: C-32766),Constituent / University College,Andhra Pradesh
300,University College of Physical Education and Sports Sciences (Id: C-32653),Constituent / University College,Andhra Pradesh
301,University Collge of Architecture & Planning (Id: C-32723),Constituent / University College,Andhra Pradesh
302,University Collge of Sciences (Id: C-32742),Constituent / University College,Andhra Pradesh
303,"Vagdevi College of Pharmacy, Gurazala (Id: C-39478)",Affiliated College,Andhra Pradesh
304,"Vagdevi Degree College, Rentachintala (Id: C-41001)",Affiliated College,Andhra Pradesh
305,Vasavi Degree College for Women (Id: C-32799),Affiliated College,Andhra Pradesh
306,"Vasavi MBA & MCA College, Kandulapuram (Id: C-39473)",Affiliated College,Andhra Pradesh
307,Vellanki College of Education (Id: C-37213),Affiliated College,Andhra Pradesh
308,Venigalla Jayasri Ram College (Id: C-32621),Affiliated College,Andhra Pradesh
309,"Venkateswara College of Eduation, Besthavaripeta (Id: C-39465)",Affiliated College,Andhra Pradesh
310,"Victoria College of Pharmacy, Nallapadu (Id: C-39488)",Affiliated College,Andhra Pradesh
